Node541_X,Node541_Y,Node541_Z,Node538_X,Node538_Y,Node538_Z,Node539_X,Node539_Y,Node539_Z
-1.290811514E-06,-2.909501503E-06,-2.712308386E-06,-2.487762224E-06,-5.005720295E-06,-3.67268672E-06,-4.946421815E-07,-1.02654976E-06,-2.408399388E-06
-2.199409454E-06,-2.368671795E-06,2.255040506E-07,-2.058928023E-06,-2.354903932E-06,4.22288992E-08,-2.589590324E-06,-2.651623179E-06,1.300339328E-06
-3.108007381E-06,-1.827842043E-06,3.163316477E-06,-1.630093835E-06,2.959124176E-07,3.757144519E-06,-4.684538505E-06,-4.276696589E-06,5.009078008E-06
-1.146412242E-06,-6.826238575E-07,-2.413952364E-06,-2.235157467E-06,-2.294923917E-06,-2.351442239E-06,-4.386328697E-07,9.693213968E-07,-1.885016538E-06
-2.055010193E-06,-1.417941491E-07,5.238601164E-07,-1.806323275E-06,3.5589245E-07,1.363473391E-06,-2.533580963E-06,-6.557520149E-07,1.823722214E-06
-2.963608147E-06,3.990355689E-07,3.461672568E-06,-1.377489071E-06,3.006708828E-06,5.078389003E-06,-4.628529141E-06,-2.280825441E-06,5.532460893E-06
-1.002012985E-06,1.544253773E-06,-2.115596272E-06,-1.982552718E-06,4.158724749E-07,-1.03019774E-06,-3.826235001E-07,2.965192559E-06,-1.361633652E-06
-1.910610966E-06,2.085083527E-06,8.222162412E-07,-1.553718519E-06,3.066688842E-06,2.684717896E-06,-2.477571604E-06,1.340119131E-06,2.347105099E-06
-2.819208892E-06,2.625913203E-06,3.760028638E-06,-1.124884318E-06,5.717505216E-06,6.399633496E-06,-4.572519794E-06,-2.849542827E-07,6.055843768E-06
7.641987009E-07,-2.767707345E-06,-3.236168545E-06,-6.814389556E-07,-5.361612764E-06,-5.036160114E-06,2.038938786E-06,-3.707977382E-07,-4.232121593E-06
-1.443992508E-07,-2.226877655E-06,-2.983560817E-07,-2.526047537E-07,-2.710796387E-06,-1.321244491E-06,-5.600935419E-08,-1.995871156E-06,-5.233828762E-07
-1.052997211E-06,-1.686047923E-06,2.639456392E-06,1.762294482E-07,-5.998001593E-08,2.393671128E-06,-2.150957489E-06,-3.620944581E-06,3.185355839E-06
9.085979564E-07,-5.40829706E-07,-2.937812476E-06,-4.288342019E-07,-2.650816378E-06,-3.714915621E-06,2.094948128E-06,1.625073422E-06,-3.708738721E-06
0,0,0,0,0,0,0,0,0
-9.085979565E-07,5.40829706E-07,2.937812477E-06,4.288342018E-07,2.650816378E-06,3.714915621E-06,-2.094948128E-06,-1.625073422E-06,3.708738721E-06
1.052997211E-06,1.686047923E-06,-2.639456392E-06,-1.762294482E-07,5.998001593E-08,-2.393671128E-06,2.150957489E-06,3.620944581E-06,-3.185355839E-06
1.443992508E-07,2.226877655E-06,2.983560817E-07,2.526047537E-07,2.710796387E-06,1.321244491E-06,5.600935419E-08,1.995871156E-06,5.233828762E-07
-7.641986838E-07,2.767707355E-06,3.236168501E-06,6.814389548E-07,5.361612753E-06,5.036160107E-06,-2.038938808E-06,3.707977393E-07,4.232121574E-06
2.819208892E-06,-2.625913203E-06,-3.760028638E-06,1.124884318E-06,-5.717505216E-06,-6.399633496E-06,4.572519794E-06,2.849542827E-07,-6.055843768E-06
1.910610972E-06,-2.085083533E-06,-8.222162573E-07,1.553718519E-06,-3.066688843E-06,-2.684717909E-06,2.477571587E-06,-1.340119127E-06,-2.34710511E-06
1.002013002E-06,-1.544253731E-06,2.115596246E-06,1.982552697E-06,-4.158724771E-07,1.030197732E-06,3.826234556E-07,-2.965192531E-06,1.361633635E-06
2.963608143E-06,-3.990355743E-07,-3.461672557E-06,1.377489071E-06,-3.006708825E-06,-5.078389002E-06,4.628529147E-06,2.280825441E-06,-5.532460886E-06
2.055010193E-06,1.417941491E-07,-5.238601164E-07,1.806323275E-06,-3.5589245E-07,-1.363473391E-06,2.533580963E-06,6.557520149E-07,-1.823722214E-06
1.146412242E-06,6.826238575E-07,2.413952364E-06,2.235157467E-06,2.294923917E-06,2.351442239E-06,4.386328697E-07,-9.693213968E-07,1.885016538E-06
3.108007404E-06,1.827842062E-06,-3.163316499E-06,1.630093824E-06,-2.959124366E-07,-3.757144513E-06,4.684538493E-06,4.276696602E-06,-5.009078014E-06
2.199409454E-06,2.368671795E-06,-2.255040506E-07,2.058928023E-06,2.354903932E-06,-4.22288992E-08,2.589590324E-06,2.651623179E-06,-1.300339328E-06
-7.946282122E-07,6.876438865E-06,5.796523751E-06,1.370747243E-06,1.197506451E-05,1.037238928E-05,-2.46129682E-06,2.094428656E-06,7.134293507E-06
-1.935294377E-06,4.22321662E-06,3.08428874E-06,-5.455119501E-07,7.114913121E-06,6.493163371E-06,-3.114013593E-06,1.626651109E-06,4.929125169E-06
-1.785149022E-06,4.479495943E-06,3.084362116E-06,2.599106929E-08,7.26048203E-06,6.286624188E-06,-3.272088178E-06,2.185423336E-06,5.132356196E-06
1.801771362E-06,5.917872999E-06,1.117262045E-06,1.560581114E-06,7.672528085E-06,4.148764447E-06,2.356550277E-06,4.676060587E-06,5.806928763E-08
1.951916659E-06,6.174152323E-06,1.117335451E-06,2.132084134E-06,7.818097024E-06,3.942225239E-06,2.19847567E-06,5.234832831E-06,2.613003257E-07
2.102061966E-06,6.430431641E-06,1.117408852E-06,2.703587156E-06,7.963665965E-06,3.735686034E-06,2.040401077E-06,5.793605074E-06,4.64531363E-07
5.688982422E-06,7.868808687E-06,-8.496912756E-07,4.238177185E-06,8.375711952E-06,1.597826348E-06,7.669039436E-06,8.284242265E-06,-4.609755627E-06
5.839127734E-06,8.125087972E-06,-8.496178767E-07,4.809680202E-06,8.52128094E-06,1.391287145E-06,7.510964855E-06,8.843014506E-06,-4.406524595E-06
5.989273036E-06,8.381367316E-06,-8.495444792E-07,5.381183232E-06,8.66684984E-06,1.184747929E-06,7.352890248E-06,9.401786755E-06,-4.203293552E-06
-4.037356331E-06,-2.207215034E-06,1.966879903E-06,-3.249099102E-06,-8.487528171E-07,2.757477321E-06,-5.154414595E-06,-4.166953933E-06,4.464593866E-06
-3.887210992E-06,-1.950935708E-06,1.966953259E-06,-2.67759608E-06,-7.031839318E-07,2.55093812E-06,-5.312489185E-06,-3.608181686E-06,4.667824905E-06
-3.737065721E-06,-1.694656403E-06,1.96702671E-06,-2.106093056E-06,-5.576149154E-07,2.344398903E-06,-5.470563774E-06,-3.049409433E-06,4.871055946E-06
-1.501453161E-07,-2.562792953E-07,-7.340227795E-11,-5.715030204E-07,-1.455689311E-07,2.065392035E-07,1.580745928E-07,-5.58772245E-07,-2.032310331E-07
0,0,0,0,0,0,0,0,0
1.501453145E-07,2.562792987E-07,7.34010983E-11,5.71503019E-07,1.455689322E-07,-2.065392045E-07,-1.580745941E-07,5.587722459E-07,2.032310331E-07
3.737065721E-06,1.694656403E-06,-1.96702671E-06,2.106093056E-06,5.576149154E-07,-2.344398903E-06,5.470563774E-06,3.049409433E-06,-4.871055946E-06
3.887211026E-06,1.95093572E-06,-1.966953303E-06,2.677596078E-06,7.031838699E-07,-2.550938111E-06,5.312489188E-06,3.608181686E-06,-4.667824905E-06
4.037356331E-06,2.207215034E-06,-1.966879904E-06,3.249099102E-06,8.487528163E-07,-2.757477321E-06,5.154414595E-06,4.166953932E-06,-4.464593866E-06
-5.989273036E-06,-8.381367316E-06,8.495444792E-07,-5.381183232E-06,-8.66684984E-06,-1.184747929E-06,-7.352890248E-06,-9.401786755E-06,4.203293552E-06
-5.839127734E-06,-8.125087972E-06,8.496178767E-07,-4.809680202E-06,-8.52128094E-06,-1.391287145E-06,-7.510964855E-06,-8.843014506E-06,4.406524595E-06
-5.688982422E-06,-7.868808687E-06,8.496912756E-07,-4.238177185E-06,-8.375711952E-06,-1.597826348E-06,-7.669039436E-06,-8.284242265E-06,4.609755627E-06
-2.102061966E-06,-6.430431641E-06,-1.117408852E-06,-2.703587156E-06,-7.963665965E-06,-3.735686034E-06,-2.040401077E-06,-5.793605074E-06,-4.64531363E-07
-1.951916659E-06,-6.174152323E-06,-1.117335451E-06,-2.132084134E-06,-7.818097024E-06,-3.942225239E-06,-2.19847567E-06,-5.234832831E-06,-2.613003257E-07
-1.801771362E-06,-5.917872999E-06,-1.117262045E-06,-1.560581114E-06,-7.672528085E-06,-4.148764447E-06,-2.356550277E-06,-4.676060587E-06,-5.806928763E-08
1.78514906E-06,-4.479495939E-06,-3.084362128E-06,-2.59910734E-08,-7.260482057E-06,-6.286624167E-06,3.272088184E-06,-2.185423347E-06,-5.132356202E-06
1.935294337E-06,-4.223216625E-06,-3.08428872E-06,5.455119484E-07,-7.114913094E-06,-6.493163394E-06,3.114013586E-06,-1.626651095E-06,-4.929125158E-06
2.085439682E-06,-3.966937303E-06,-3.084215342E-06,1.117014973E-06,-6.969344178E-06,-6.699702582E-06,2.955939E-06,-1.067878862E-06,-4.725894129E-06
0,0,0,0,0,0,0,0,0
